transaction_amount,hour_of_day,is_weekend,num_items,customer_age,prev_transactions,distance_from_home,device_type,network_quality,is_first_transaction,store_type,velocity_score,is_fraud
161.36369110406315,3.0,0.0,2.0,18.0,2.0,26.53974176549527,1.0,48.403937150926936,0.0,0.0,3.718296156167551,0
116.20285141107803,1.0,1.0,4.0,26.28581798056925,2.0,50.71440221451397,,76.14497893945781,0.0,0.0,4.951272489550715,0
1.0,2.0,0.0,5.0,18.0,,9.46793520346699,0.0,67.6003158931481,0.0,0.0,4.556043486179538,0
48.780617933285505,2.0,0.0,3.0,44.471189929729924,,41.07706831607596,0.0,94.82552553511977,0.0,0.0,6.918436728287094,0
,3.0,0.0,4.0,38.733608932721516,8.0,,2.0,100.0,0.0,1.0,5.535334848372403,1
,1.0,1.0,2.0,20.260397797912393,2.0,43.371890893514646,2.0,67.90800933547987,1.0,1.0,,1
74.69054694573319,3.0,0.0,4.0,48.16927201067905,5.0,16.764099056370686,0.0,82.4397688652168,0.0,0.0,,0
17.930994219895155,1.0,0.0,1.0,33.200694122230374,3.0,2.022411242186052,0.0,77.47250548804655,0.0,0.0,4.937005761887127,1
74.37056015107456,3.0,0.0,3.0,,1.0,64.70726548768356,0.0,30.870271808334394,0.0,0.0,7.778098350366901,0
177.0161989909943,2.0,0.0,5.0,29.99565290668778,3.0,31.284941380616242,0.0,70.96581703438974,0.0,1.0,5.14124490276649,0
46.884814313694754,2.0,0.0,7.0,28.604248894256447,0.0,,1.0,76.1438847879892,0.0,1.0,6.3294055684417545,0
95.88731501642734,3.0,0.0,2.0,42.90450996543508,11.0,0.45199499678442706,1.0,63.03983927217714,0.0,1.0,,0
118.19853154263691,3.0,0.0,0.0,23.244854440318612,15.0,18.028072753952255,1.0,83.56728275326613,0.0,,3.5546782214186132,0
110.3633664699472,2.0,0.0,3.0,,0.0,22.992230589828015,0.0,,0.0,0.0,7.69596721125483,0
142.83687107352293,3.0,0.0,7.0,41.486187128094045,9.0,19.604308947068873,0.0,97.17764566126264,0.0,0.0,2.86432899359869,0
118.38099201048554,1.0,0.0,1.0,47.82801279379339,1.0,45.99129557988964,0.0,84.2327192701489,0.0,0.0,4.279532898341277,0
153.57579677905193,3.0,,2.0,51.01165377067649,0.0,,0.0,70.52411595328932,0.0,1.0,,0
134.01080527252248,3.0,0.0,2.0,34.976616946582325,0.0,27.707540201799315,0.0,78.53633622336146,0.0,0.0,3.5189325276270518,0
80.41757162891045,3.0,0.0,3.0,38.503248161434705,3.0,1.4811048597689047,1.0,46.18210545688366,0.0,0.0,8.19735662827611,0
95.19700501376751,2.0,0.0,2.0,18.0,1.0,19.53617103925664,1.0,60.68335744844468,0.0,0.0,6.203664793376037,0
26.66074046921615,2.0,0.0,1.0,,0.0,2.3194591316771818,0.0,51.523586234833225,0.0,0.0,4.464503538730345,0
1.0,2.0,0.0,3.0,18.21099045326852,2.0,57.40168957514824,1.0,,0.0,0.0,5.456775320274236,0
24.276484540961647,2.0,0.0,1.0,55.84225261274538,2.0,46.61335138152417,0.0,62.86008650054015,0.0,0.0,3.2522586326865586,0
78.96773386173204,2.0,0.0,3.0,31.38047817234254,0.0,,0.0,77.8018681502569,0.0,0.0,4.120099369837467,0
,3.0,0.0,8.0,33.08415450511938,8.0,,2.0,77.99099478139837,0.0,0.0,1.7655743550762315,0
185.58542400711718,1.0,0.0,3.0,29.940039648575045,3.0,,0.0,92.24818723528222,0.0,0.0,2.9748424487811636,1
74.43921617844074,2.0,0.0,2.0,55.688280868049404,2.0,13.350091979748765,0.0,95.86381005996809,0.0,0.0,1.8462340917029572,1
95.62823356114095,2.0,0.0,7.0,18.0,7.0,58.04260448582046,0.0,72.09337161511189,0.0,1.0,3.0262720130473055,1
75.31217084193437,1.0,0.0,3.0,34.24526231606396,,19.6445490987848,1.0,100.0,0.0,0.0,6.830420673755276,0
55.94658316693539,2.0,0.0,10.0,45.99606717447598,17.0,21.18417029642036,1.0,94.73645195682884,0.0,0.0,,1
141.94702502348062,1.0,0.0,2.0,,7.0,63.0969525993706,1.0,91.32557158778812,0.0,1.0,3.619098554857768,0
203.77003993227194,2.0,1.0,1.0,,2.0,6.27282589424209,2.0,87.41589547207863,0.0,0.0,3.447374393784723,0
137.78329193721572,2.0,0.0,2.0,45.38054292025785,1.0,14.38144131351065,0.0,25.811412274141247,0.0,0.0,7.782170823217978,0
103.90588676180082,2.0,0.0,3.0,32.46444924911165,7.0,3.4923079222897604,2.0,75.40647499312144,0.0,1.0,7.826427523987085,0
22.634800553081718,3.0,0.0,4.0,18.316321015184805,,1.4897527870970344,,45.62560611131593,0.0,0.0,5.960808492875271,0
118.24805012331127,3.0,0.0,1.0,18.0,3.0,2.4028211524626095,0.0,100.0,1.0,1.0,,1
129.29521005823244,3.0,0.0,6.0,50.67745802625767,2.0,,2.0,67.37205642796644,0.0,1.0,2.5956273172065374,0
111.53504528593417,2.0,0.0,3.0,31.79080550222561,14.0,0.22446728438709393,1.0,67.3237146036113,0.0,1.0,,1
193.99372747105042,3.0,0.0,4.0,42.84247793850001,5.0,10.410098351832398,2.0,100.0,0.0,0.0,,0
122.83440053651995,2.0,0.0,1.0,46.60276719003893,,10.682361314174633,1.0,22.3165945303314,0.0,0.0,1.7968170584959173,0
73.31998467804166,2.0,0.0,0.0,34.386174017074566,3.0,20.68180355777227,0.0,81.74820401354192,0.0,0.0,,0
125.39956634562718,2.0,0.0,0.0,22.776863352749153,2.0,4.064625342077939,2.0,100.0,0.0,1.0,7.951397169308494,0
83.27493820795257,2.0,0.0,5.0,,0.0,5.1786359542963565,1.0,68.93297876473275,0.0,1.0,1.6148269258532144,0
62.40153341305905,2.0,0.0,3.0,18.0,1.0,43.096724161998054,0.0,84.24961505216952,0.0,0.0,2.5763973531605826,0
25.850778400879094,2.0,0.0,1.0,18.0,3.0,,1.0,40.55147625285377,0.0,1.0,4.925677697750232,0
122.67543562772337,1.0,0.0,3.0,41.03509595235082,8.0,71.26777944360984,0.0,98.25270145505418,0.0,0.0,3.00024447597034,0
44.88539250817883,3.0,0.0,4.0,20.187006099018735,2.0,10.443014609109987,0.0,53.783013484111265,0.0,1.0,5.449458397085872,0
73.05790719036308,2.0,0.0,5.0,36.84426773094793,4.0,0.7848542960362092,0.0,44.33379130165727,0.0,0.0,4.1161504002271085,1
102.04623743644615,2.0,0.0,3.0,39.736571567481704,2.0,2.5595541529985297,1.0,72.21953104725995,0.0,0.0,4.484435738732515,0
172.67670385786585,3.0,0.0,4.0,35.03065265342465,6.0,8.328690281307473,1.0,65.176020344274,1.0,0.0,5.200467582472285,0
75.85080369635796,1.0,0.0,2.0,74.2289998593817,2.0,12.513437648535945,1.0,75.80516371705598,0.0,0.0,2.0201264662826164,0
2.0164938060112263,,0.0,1.0,42.7671206275443,,3.8577216400851744,0.0,100.0,0.0,0.0,6.737480864992276,1
125.27946209179373,2.0,0.0,3.0,45.39301570784045,1.0,0.9655841003124573,0.0,64.19333637551624,0.0,0.0,4.676274374300125,0
140.53993227958549,3.0,0.0,2.0,27.335148872256134,2.0,,0.0,85.59962129241504,0.0,0.0,4.028494580088716,0
,2.0,1.0,1.0,18.0,0.0,31.15170394508273,0.0,65.57498858765236,0.0,0.0,6.504283067483772,0
73.7060162052398,3.0,0.0,2.0,21.301911694533242,11.0,81.0476186617271,2.0,71.8469685325634,0.0,0.0,8.282070607521902,0
124.01302507029624,2.0,0.0,4.0,,0.0,30.92089280622724,0.0,92.67954757490548,0.0,1.0,,0
112.4110293150168,1.0,0.0,1.0,47.77179846543474,22.0,9.293494500702321,0.0,68.47086667066581,1.0,0.0,4.98563406760504,0
124.54874758191256,1.0,0.0,3.0,23.221959341302565,1.0,5.005737451303021,0.0,46.35659016452789,0.0,0.0,5.231203942206755,0
98.78227038695086,1.0,0.0,1.0,46.93273796415207,3.0,41.9691043878471,0.0,88.39317513635868,0.0,0.0,,0
1.0,1.0,0.0,4.0,50.67233621409187,4.0,18.487403270471145,0.0,74.23475007997413,0.0,0.0,,0
115.08500044508678,2.0,0.0,1.0,26.75240764285956,6.0,5.692249483992266,0.0,79.23649581871004,0.0,0.0,6.974282021512263,0
